date,zone_id,zone_name,consumption_m3,tariff_sar_per_m3,is_actual_leak_period
2026-08-07,Z1,Industrial Plant - Riyadh,461.27,5.5,False
2026-08-08,Z1,Industrial Plant - Riyadh,435.6,5.5,False
2026-08-09,Z1,Industrial Plant - Riyadh,422.53,5.5,False
2026-08-10,Z1,Industrial Plant - Riyadh,434.41,5.5,False
2026-08-11,Z1,Industrial Plant - Riyadh,411.48,5.5,False
2026-08-12,Z1,Industrial Plant - Riyadh,437.12,5.5,False
2026-08-13,Z1,Industrial Plant - Riyadh,432.6,5.5,False
2026-08-14,Z1,Industrial Plant - Riyadh,425.97,5.5,False
2026-08-15,Z1,Industrial Plant - Riyadh,418.9,5.5,False
2026-08-16,Z1,Industrial Plant - Riyadh,400.07,5.5,False
2026-08-17,Z1,Industrial Plant - Riyadh,439.31,5.5,False
2026-08-18,Z1,Industrial Plant - Riyadh,438.99,5.5,False
2026-08-19,Z1,Industrial Plant - Riyadh,418.37,5.5,False
2026-08-20,Z1,Industrial Plant - Riyadh,420.02,5.5,False
2026-08-21,Z1,Industrial Plant - Riyadh,436.22,5.5,False
2026-08-22,Z1,Industrial Plant - Riyadh,416.25,5.5,False
2026-08-23,Z1,Industrial Plant - Riyadh,429.29,5.5,False
2026-08-24,Z1,Industrial Plant - Riyadh,447.4,5.5,False
2026-08-25,Z1,Industrial Plant - Riyadh,562.52,5.5,True
2026-08-26,Z1,Industrial Plant - Riyadh,525.62,5.5,True
2026-08-27,Z1,Industrial Plant - Riyadh,515.2,5.5,True
2026-08-28,Z1,Industrial Plant - Riyadh,517.92,5.5,True
2026-08-29,Z1,Industrial Plant - Riyadh,375.42,5.5,False
2026-08-30,Z1,Industrial Plant - Riyadh,395.49,5.5,False
2026-08-31,Z1,Industrial Plant - Riyadh,431.02,5.5,False
2026-09-01,Z1,Industrial Plant - Riyadh,423.9,5.5,False
2026-09-02,Z1,Industrial Plant - Riyadh,411.21,5.5,False
2026-09-03,Z1,Industrial Plant - Riyadh,389.35,5.5,False
2026-09-04,Z1,Industrial Plant - Riyadh,386.06,5.5,False
2026-09-05,Z1,Industrial Plant - Riyadh,381.35,5.5,False
2026-09-06,Z1,Industrial Plant - Riyadh,379.11,5.5,False
2026-09-07,Z1,Industrial Plant - Riyadh,398.4,5.5,False
2026-09-08,Z1,Industrial Plant - Riyadh,408.28,5.5,False
2026-09-09,Z1,Industrial Plant - Riyadh,583.85,5.5,True
2026-09-10,Z1,Industrial Plant - Riyadh,577.83,5.5,True
2026-09-11,Z1,Industrial Plant - Riyadh,574.76,5.5,True
2026-09-12,Z1,Industrial Plant - Riyadh,557.32,5.5,True
2026-09-13,Z1,Industrial Plant - Riyadh,545.11,5.5,True
2026-09-14,Z1,Industrial Plant - Riyadh,562.18,5.5,True
2026-09-15,Z1,Industrial Plant - Riyadh,569.98,5.5,True
2026-09-16,Z1,Industrial Plant - Riyadh,556.16,5.5,True
2026-09-17,Z1,Industrial Plant - Riyadh,545.2,5.5,True
2026-06-20,Z2,Commercial Complex - Dammam,183.38,6.2,False
2026-06-21,Z2,Commercial Complex - Dammam,185.81,6.2,False
2026-06-22,Z2,Commercial Complex - Dammam,218.53,6.2,False
2026-06-23,Z2,Commercial Complex - Dammam,213.5,6.2,False
2026-06-24,Z2,Commercial Complex - Dammam,210.99,6.2,False
2026-06-25,Z2,Commercial Complex - Dammam,207.04,6.2,False
2026-06-26,Z2,Commercial Complex - Dammam,191.5,6.2,False
2026-06-27,Z2,Commercial Complex - Dammam,175.96,6.2,False
2026-06-28,Z2,Commercial Complex - Dammam,178.59,6.2,False
2026-06-29,Z2,Commercial Complex - Dammam,217.06,6.2,False
2026-06-30,Z2,Commercial Complex - Dammam,209.36,6.2,False
2026-07-01,Z2,Commercial Complex - Dammam,208.12,6.2,False
2026-07-02,Z2,Commercial Complex - Dammam,204.9,6.2,False
2026-07-03,Z2,Commercial Complex - Dammam,194.89,6.2,False
2026-07-04,Z2,Commercial Complex - Dammam,184.52,6.2,False
2026-07-05,Z2,Commercial Complex - Dammam,187.4,6.2,False
2026-07-06,Z2,Commercial Complex - Dammam,210.29,6.2,False
2026-07-07,Z2,Commercial Complex - Dammam,199.52,6.2,False
2026-07-08,Z2,Commercial Complex - Dammam,209.09,6.2,False
2026-07-09,Z2,Commercial Complex - Dammam,195.14,6.2,False
2026-07-10,Z2,Commercial Complex - Dammam,200.5,6.2,False
2026-07-11,Z2,Commercial Complex - Dammam,193.25,6.2,False
2026-07-12,Z2,Commercial Complex - Dammam,180.92,6.2,False
2026-07-13,Z2,Commercial Complex - Dammam,195.64,6.2,False
2026-07-14,Z2,Commercial Complex - Dammam,196.88,6.2,False
2026-07-15,Z2,Commercial Complex - Dammam,193.33,6.2,False
2026-07-16,Z2,Commercial Complex - Dammam,183.85,6.2,False
2026-07-17,Z2,Commercial Complex - Dammam,189.19,6.2,False
2026-07-18,Z2,Commercial Complex - Dammam,166.03,6.2,False
2026-07-19,Z2,Commercial Complex - Dammam,172.84,6.2,False
2026-07-20,Z2,Commercial Complex - Dammam,186.9,6.2,False
2026-07-21,Z2,Commercial Complex - Dammam,200.54,6.2,False
2026-07-22,Z2,Commercial Complex - Dammam,220.43,6.2,True
2026-07-23,Z2,Commercial Complex - Dammam,219.62,6.2,True
2026-07-24,Z2,Commercial Complex - Dammam,228.34,6.2,True
2026-07-25,Z2,Commercial Complex - Dammam,196.02,6.2,True
2026-07-26,Z2,Commercial Complex - Dammam,200.91,6.2,True
2026-07-27,Z2,Commercial Complex - Dammam,235.37,6.2,True
2026-07-28,Z2,Commercial Complex - Dammam,219.8,6.2,True
2026-07-29,Z2,Commercial Complex - Dammam,224.97,6.2,True
2026-07-30,Z2,Commercial Complex - Dammam,228.96,6.2,True
2026-07-31,Z2,Commercial Complex - Dammam,235.84,6.2,True
2026-08-01,Z2,Commercial Complex - Dammam,201.6,6.2,True
2026-08-02,Z2,Commercial Complex - Dammam,160.69,6.2,False
2026-08-03,Z2,Commercial Complex - Dammam,186.34,6.2,False
2026-08-04,Z2,Commercial Complex - Dammam,189.34,6.2,False
2026-08-05,Z2,Commercial Complex - Dammam,190.65,6.2,False
2026-08-06,Z2,Commercial Complex - Dammam,191.9,6.2,False
2026-08-07,Z2,Commercial Complex - Dammam,185.7,6.2,False
2026-08-08,Z2,Commercial Complex - Dammam,169.04,6.2,False
2026-08-09,Z2,Commercial Complex - Dammam,170.38,6.2,False
2026-08-10,Z2,Commercial Complex - Dammam,183.43,6.2,False
2026-08-11,Z2,Commercial Complex - Dammam,196.58,6.2,False
2026-08-12,Z2,Commercial Complex - Dammam,195.19,6.2,False
2026-08-13,Z2,Commercial Complex - Dammam,183.35,6.2,False
2026-08-14,Z2,Commercial Complex - Dammam,188.07,6.2,False
2026-08-15,Z2,Commercial Complex - Dammam,162.15,6.2,False
2026-08-16,Z2,Commercial Complex - Dammam,167.96,6.2,False
2026-08-17,Z2,Commercial Complex - Dammam,192.69,6.2,False
2026-08-18,Z2,Commercial Complex - Dammam,183.42,6.2,False
2026-08-19,Z2,Commercial Complex - Dammam,189.12,6.2,False
2026-08-20,Z2,Commercial Complex - Dammam,261.02,6.2,True
2026-08-21,Z2,Commercial Complex - Dammam,267.59,6.2,True
2026-08-22,Z2,Commercial Complex - Dammam,254.14,6.2,True
2026-08-23,Z2,Commercial Complex - Dammam,245.73,6.2,True
2026-08-24,Z2,Commercial Complex - Dammam,263.7,6.2,True
2026-08-25,Z2,Commercial Complex - Dammam,257.73,6.2,True
2026-08-26,Z2,Commercial Complex - Dammam,255.73,6.2,True
2026-08-27,Z2,Commercial Complex - Dammam,262.45,6.2,True
2026-08-28,Z2,Commercial Complex - Dammam,271.52,6.2,True
2026-08-29,Z2,Commercial Complex - Dammam,249.67,6.2,True
2026-08-30,Z2,Commercial Complex - Dammam,165.3,6.2,False
2026-08-31,Z2,Commercial Complex - Dammam,180.96,6.2,False
2026-09-01,Z2,Commercial Complex - Dammam,188.08,6.2,False
2026-09-02,Z2,Commercial Complex - Dammam,181.52,6.2,False
2026-09-03,Z2,Commercial Complex - Dammam,195.8,6.2,False
2026-09-04,Z2,Commercial Complex - Dammam,191.25,6.2,False
2026-09-05,Z2,Commercial Complex - Dammam,161.32,6.2,False
2026-09-06,Z2,Commercial Complex - Dammam,153.53,6.2,False
2026-09-07,Z2,Commercial Complex - Dammam,174.71,6.2,False
2026-09-08,Z2,Commercial Complex - Dammam,172.69,6.2,False
2026-09-09,Z2,Commercial Complex - Dammam,176.99,6.2,False
2026-09-10,Z2,Commercial Complex - Dammam,177.92,6.2,False
2026-09-11,Z2,Commercial Complex - Dammam,174.99,6.2,False
2026-09-12,Z2,Commercial Complex - Dammam,151.56,6.2,False
2026-09-13,Z2,Commercial Complex - Dammam,144.25,6.2,False
2026-09-14,Z2,Commercial Complex - Dammam,161.67,6.2,False
2026-09-15,Z2,Commercial Complex - Dammam,170.1,6.2,False
2026-09-16,Z2,Commercial Complex - Dammam,171.14,6.2,False
2026-09-17,Z2,Commercial Complex - Dammam,162.9,6.2,False
2026-06-20,Z3,Residential Compound - Jeddah,306.09,4.8,False
2026-06-21,Z3,Residential Compound - Jeddah,306.29,4.8,False
2026-06-22,Z3,Residential Compound - Jeddah,302.92,4.8,False
2026-06-23,Z3,Residential Compound - Jeddah,309.8,4.8,False
2026-06-24,Z3,Residential Compound - Jeddah,292.99,4.8,False
2026-06-25,Z3,Residential Compound - Jeddah,306.74,4.8,False
2026-06-26,Z3,Residential Compound - Jeddah,309.93,4.8,False
2026-06-27,Z3,Residential Compound - Jeddah,308.1,4.8,False
2026-06-28,Z3,Residential Compound - Jeddah,309.05,4.8,False
2026-06-29,Z3,Residential Compound - Jeddah,297.05,4.8,False
2026-06-30,Z3,Residential Compound - Jeddah,294.44,4.8,False
2026-07-01,Z3,Residential Compound - Jeddah,301.31,4.8,False
2026-07-02,Z3,Residential Compound - Jeddah,310.96,4.8,False
2026-07-03,Z3,Residential Compound - Jeddah,302.06,4.8,False
2026-07-04,Z3,Residential Compound - Jeddah,322.31,4.8,False
2026-07-05,Z3,Residential Compound - Jeddah,323.39,4.8,False
2026-07-06,Z3,Residential Compound - Jeddah,303.74,4.8,False
2026-07-07,Z3,Residential Compound - Jeddah,298.66,4.8,False
2026-07-08,Z3,Residential Compound - Jeddah,282.07,4.8,False
2026-07-09,Z3,Residential Compound - Jeddah,268.46,4.8,False
2026-07-10,Z3,Residential Compound - Jeddah,276.79,4.8,False
2026-07-11,Z3,Residential Compound - Jeddah,282.23,4.8,False
2026-07-12,Z3,Residential Compound - Jeddah,287.11,4.8,False
2026-07-13,Z3,Residential Compound - Jeddah,273.74,4.8,False
2026-07-14,Z3,Residential Compound - Jeddah,259.68,4.8,False
2026-07-15,Z3,Residential Compound - Jeddah,272.34,4.8,False
2026-07-16,Z3,Residential Compound - Jeddah,272.06,4.8,False
2026-07-17,Z3,Residential Compound - Jeddah,276.55,4.8,False
2026-07-18,Z3,Residential Compound - Jeddah,280.2,4.8,False
2026-07-19,Z3,Residential Compound - Jeddah,281.24,4.8,False
2026-07-20,Z3,Residential Compound - Jeddah,289.4,4.8,False
2026-07-21,Z3,Residential Compound - Jeddah,286.46,4.8,False
2026-07-22,Z3,Residential Compound - Jeddah,288.57,4.8,False
2026-07-23,Z3,Residential Compound - Jeddah,355.13,4.8,True
2026-07-24,Z3,Residential Compound - Jeddah,398.04,4.8,True
2026-07-25,Z3,Residential Compound - Jeddah,437.8,4.8,True
2026-07-26,Z3,Residential Compound - Jeddah,449.44,4.8,True
2026-07-27,Z3,Residential Compound - Jeddah,435.11,4.8,True
2026-07-28,Z3,Residential Compound - Jeddah,291.53,4.8,False
2026-07-29,Z3,Residential Compound - Jeddah,288.73,4.8,False
2026-07-30,Z3,Residential Compound - Jeddah,332.45,4.8,True
2026-07-31,Z3,Residential Compound - Jeddah,318.84,4.8,True
2026-08-01,Z3,Residential Compound - Jeddah,325.75,4.8,True
2026-08-02,Z3,Residential Compound - Jeddah,308.73,4.8,True
2026-08-03,Z3,Residential Compound - Jeddah,297.46,4.8,True
2026-08-04,Z3,Residential Compound - Jeddah,325.55,4.8,True
2026-08-05,Z3,Residential Compound - Jeddah,320.75,4.8,True
2026-08-06,Z3,Residential Compound - Jeddah,318.59,4.8,True
2026-08-07,Z3,Residential Compound - Jeddah,270.22,4.8,False
2026-08-08,Z3,Residential Compound - Jeddah,264.07,4.8,False
2026-08-09,Z3,Residential Compound - Jeddah,278.59,4.8,False
2026-08-10,Z3,Residential Compound - Jeddah,278.93,4.8,False
2026-08-11,Z3,Residential Compound - Jeddah,276.95,4.8,False
2026-08-12,Z3,Residential Compound - Jeddah,287.32,4.8,False
2026-08-13,Z3,Residential Compound - Jeddah,265.6,4.8,False
2026-08-14,Z3,Residential Compound - Jeddah,281.66,4.8,False
2026-08-15,Z3,Residential Compound - Jeddah,277.9,4.8,False
2026-08-16,Z3,Residential Compound - Jeddah,263.37,4.8,False
2026-08-17,Z3,Residential Compound - Jeddah,254.2,4.8,False
2026-08-18,Z3,Residential Compound - Jeddah,273.79,4.8,False
2026-08-19,Z3,Residential Compound - Jeddah,267.92,4.8,False
2026-08-20,Z3,Residential Compound - Jeddah,255.82,4.8,False
2026-08-21,Z3,Residential Compound - Jeddah,245.02,4.8,False
2026-08-22,Z3,Residential Compound - Jeddah,310.59,4.8,True
2026-08-23,Z3,Residential Compound - Jeddah,296.15,4.8,True
2026-08-24,Z3,Residential Compound - Jeddah,285.17,4.8,True
2026-08-25,Z3,Residential Compound - Jeddah,318.52,4.8,True
2026-08-26,Z3,Residential Compound - Jeddah,337.8,4.8,True
2026-08-27,Z3,Residential Compound - Jeddah,334.35,4.8,True
2026-08-28,Z3,Residential Compound - Jeddah,253.33,4.8,False
2026-08-29,Z3,Residential Compound - Jeddah,263.65,4.8,False
2026-08-30,Z3,Residential Compound - Jeddah,284.54,4.8,False
2026-08-31,Z3,Residential Compound - Jeddah,268.12,4.8,False
2026-09-01,Z3,Residential Compound - Jeddah,268.98,4.8,False
2026-09-02,Z3,Residential Compound - Jeddah,259.44,4.8,False
2026-09-03,Z3,Residential Compound - Jeddah,255.75,4.8,False
2026-09-04,Z3,Residential Compound - Jeddah,258.37,4.8,False
2026-09-05,Z3,Residential Compound - Jeddah,265.31,4.8,False
2026-09-06,Z3,Residential Compound - Jeddah,244.73,4.8,False
2026-09-07,Z3,Residential Compound - Jeddah,250.73,4.8,False
2026-09-08,Z3,Residential Compound - Jeddah,243.28,4.8,False
2026-09-09,Z3,Residential Compound - Jeddah,262.01,4.8,False
2026-09-10,Z3,Residential Compound - Jeddah,260.67,4.8,False
2026-09-11,Z3,Residential Compound - Jeddah,254.31,4.8,False
2026-09-12,Z3,Residential Compound - Jeddah,263.5,4.8,False
2026-09-13,Z3,Residential Compound - Jeddah,257.76,4.8,False
2026-09-14,Z3,Residential Compound - Jeddah,241.07,4.8,False
2026-09-15,Z3,Residential Compound - Jeddah,242.63,4.8,False
2026-09-16,Z3,Residential Compound - Jeddah,248.99,4.8,False
2026-09-17,Z3,Residential Compound - Jeddah,241.16,4.8,False
2026-06-20,Z4,Desalination Feed Line - Jubail,1053.88,3.9,False
2026-06-21,Z4,Desalination Feed Line - Jubail,1071.24,3.9,False
2026-06-22,Z4,Desalination Feed Line - Jubail,1147.8,3.9,False
2026-06-23,Z4,Desalination Feed Line - Jubail,1046.75,3.9,False
2026-06-24,Z4,Desalination Feed Line - Jubail,1116.55,3.9,False
2026-06-25,Z4,Desalination Feed Line - Jubail,1117.32,3.9,False
2026-06-26,Z4,Desalination Feed Line - Jubail,1083.78,3.9,False
2026-06-27,Z4,Desalination Feed Line - Jubail,1035.37,3.9,False
2026-06-28,Z4,Desalination Feed Line - Jubail,1077.16,3.9,False
2026-06-29,Z4,Desalination Feed Line - Jubail,1093.77,3.9,False
2026-06-30,Z4,Desalination Feed Line - Jubail,1024.33,3.9,False
2026-07-01,Z4,Desalination Feed Line - Jubail,1052.89,3.9,False
2026-07-02,Z4,Desalination Feed Line - Jubail,1098.51,3.9,False
2026-07-03,Z4,Desalination Feed Line - Jubail,1114.62,3.9,False
2026-07-04,Z4,Desalination Feed Line - Jubail,1047.23,3.9,False
2026-07-05,Z4,Desalination Feed Line - Jubail,993.71,3.9,False
2026-07-06,Z4,Desalination Feed Line - Jubail,1018.34,3.9,False
2026-07-07,Z4,Desalination Feed Line - Jubail,1152.64,3.9,False
2026-07-08,Z4,Desalination Feed Line - Jubail,1055.28,3.9,False
2026-07-09,Z4,Desalination Feed Line - Jubail,1022.28,3.9,False
2026-07-10,Z4,Desalination Feed Line - Jubail,1047.35,3.9,False
2026-07-11,Z4,Desalination Feed Line - Jubail,1021.87,3.9,False
2026-07-12,Z4,Desalination Feed Line - Jubail,1015.81,3.9,False
2026-07-13,Z4,Desalination Feed Line - Jubail,1113.66,3.9,False
2026-07-14,Z4,Desalination Feed Line - Jubail,1053.83,3.9,False
2026-07-15,Z4,Desalination Feed Line - Jubail,1047.98,3.9,False
2026-07-16,Z4,Desalination Feed Line - Jubail,1051.66,3.9,False
2026-07-17,Z4,Desalination Feed Line - Jubail,1016.51,3.9,False
2026-07-18,Z4,Desalination Feed Line - Jubail,952.25,3.9,False
2026-07-19,Z4,Desalination Feed Line - Jubail,986.08,3.9,False
2026-07-20,Z4,Desalination Feed Line - Jubail,1082.03,3.9,False
2026-07-21,Z4,Desalination Feed Line - Jubail,1075.66,3.9,False
2026-07-22,Z4,Desalination Feed Line - Jubail,1059.71,3.9,False
2026-07-23,Z4,Desalination Feed Line - Jubail,1049.12,3.9,False
2026-07-24,Z4,Desalination Feed Line - Jubail,1029.74,3.9,False
2026-07-25,Z4,Desalination Feed Line - Jubail,1047.69,3.9,False
2026-07-26,Z4,Desalination Feed Line - Jubail,1010.66,3.9,False
2026-07-27,Z4,Desalination Feed Line - Jubail,977.47,3.9,False
2026-07-28,Z4,Desalination Feed Line - Jubail,936.5,3.9,False
2026-07-29,Z4,Desalination Feed Line - Jubail,970.37,3.9,False
2026-07-30,Z4,Desalination Feed Line - Jubail,1024.68,3.9,False
2026-07-31,Z4,Desalination Feed Line - Jubail,1027.11,3.9,False
2026-08-01,Z4,Desalination Feed Line - Jubail,987.91,3.9,False
2026-08-02,Z4,Desalination Feed Line - Jubail,1002.77,3.9,False
2026-08-03,Z4,Desalination Feed Line - Jubail,1021.83,3.9,False
2026-08-04,Z4,Desalination Feed Line - Jubail,1042.6,3.9,False
2026-08-05,Z4,Desalination Feed Line - Jubail,1292.6,3.9,True
2026-08-06,Z4,Desalination Feed Line - Jubail,1245.8,3.9,True
2026-08-07,Z4,Desalination Feed Line - Jubail,1165.22,3.9,True
2026-08-08,Z4,Desalination Feed Line - Jubail,1550.07,3.9,True
2026-08-09,Z4,Desalination Feed Line - Jubail,1195.97,3.9,True
2026-08-10,Z4,Desalination Feed Line - Jubail,1311.07,3.9,True
2026-08-11,Z4,Desalination Feed Line - Jubail,1299.33,3.9,True
2026-08-12,Z4,Desalination Feed Line - Jubail,1242.98,3.9,True
2026-08-13,Z4,Desalination Feed Line - Jubail,1276.33,3.9,True
2026-08-14,Z4,Desalination Feed Line - Jubail,1257.5,3.9,True
2026-08-15,Z4,Desalination Feed Line - Jubail,1374.62,3.9,True
2026-08-16,Z4,Desalination Feed Line - Jubail,973.14,3.9,False
2026-08-17,Z4,Desalination Feed Line - Jubail,1006.66,3.9,False
2026-08-18,Z4,Desalination Feed Line - Jubail,1010.05,3.9,False
2026-08-19,Z4,Desalination Feed Line - Jubail,1021.44,3.9,False
2026-08-20,Z4,Desalination Feed Line - Jubail,1037.18,3.9,False
2026-08-21,Z4,Desalination Feed Line - Jubail,989.0,3.9,False
2026-08-22,Z4,Desalination Feed Line - Jubail,910.98,3.9,False
2026-08-23,Z4,Desalination Feed Line - Jubail,894.2,3.9,False
2026-08-24,Z4,Desalination Feed Line - Jubail,928.24,3.9,False
2026-08-25,Z4,Desalination Feed Line - Jubail,852.4,3.9,False
2026-08-26,Z4,Desalination Feed Line - Jubail,930.09,3.9,False
2026-08-27,Z4,Desalination Feed Line - Jubail,874.28,3.9,False
2026-08-28,Z4,Desalination Feed Line - Jubail,923.04,3.9,False
2026-08-29,Z4,Desalination Feed Line - Jubail,907.27,3.9,False
2026-08-30,Z4,Desalination Feed Line - Jubail,922.65,3.9,False
2026-08-31,Z4,Desalination Feed Line - Jubail,924.93,3.9,False
2026-09-01,Z4,Desalination Feed Line - Jubail,936.8,3.9,False
2026-09-02,Z4,Desalination Feed Line - Jubail,920.31,3.9,False
2026-09-03,Z4,Desalination Feed Line - Jubail,906.78,3.9,False
2026-09-04,Z4,Desalination Feed Line - Jubail,886.64,3.9,False
2026-09-05,Z4,Desalination Feed Line - Jubail,933.61,3.9,False
2026-09-06,Z4,Desalination Feed Line - Jubail,934.38,3.9,False
2026-09-07,Z4,Desalination Feed Line - Jubail,947.85,3.9,False
2026-09-08,Z4,Desalination Feed Line - Jubail,908.46,3.9,False
2026-09-09,Z4,Desalination Feed Line - Jubail,904.69,3.9,False
2026-09-10,Z4,Desalination Feed Line - Jubail,877.33,3.9,False
2026-09-11,Z4,Desalination Feed Line - Jubail,876.02,3.9,False
2026-09-12,Z4,Desalination Feed Line - Jubail,834.35,3.9,False
2026-09-13,Z4,Desalination Feed Line - Jubail,906.64,3.9,False
2026-09-14,Z4,Desalination Feed Line - Jubail,893.54,3.9,False
2026-09-15,Z4,Desalination Feed Line - Jubail,870.02,3.9,False
2026-09-16,Z4,Desalination Feed Line - Jubail,840.83,3.9,False
2026-09-17,Z4,Desalination Feed Line - Jubail,840.09,3.9,False
